S. No.,area_type,availability,location,size,society,total_sqft,bath,balcony,price,bedrooms
10619,Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,,1150,2.0,1.0,4600000,2.0
10620,Super built-up  Area,Ready To Move,Malleshwaram,2 BHK,,1020,2.0,1.0,8000000,2.0
10621,Super built-up  Area,18-Jun,Old Madras Road,4 BHK,Brica E,3630 - 3800,6.0,0.0,21250000,4.0
10622,Super built-up  Area,Ready To Move,8th Phase JP Nagar,2 BHK,URncysi,1160,2.0,1.0,9500000,2.0
10623,Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,Prityel,1075,2.0,1.0,3100000,3.0
10624,Built-up  Area,Ready To Move,Brookefield,2 BHK,Roeekbl,1225,2.0,2.0,7200000,2.0
10625,Plot  Area,Ready To Move,Benson Town,4 Bedroom,ImncyTa,5000,5.0,3.0,95000000,4.0
10626,Plot  Area,Ready To Move,Vivek Nagar,2 Bedroom,,1600,2.0,1.0,16000000,2.0
10627,Plot  Area,Ready To Move,Malleshwaram,2 Bedroom,,600,1.0,0.0,9000000,2.0
10628,Built-up  Area,Ready To Move,Nagappa Reddy Layout,3 BHK,Sanorpa,1350,3.0,2.0,6000000,3.0
10629,Super built-up  Area,21-Oct,Kanakpura Road,3 BHK,PrarePa,1300,3.0,1.0,6900000,3.0
10630,Super built-up  Area,18-Dec,Channasandra,2 BHK,MVisear,830,2.0,1.0,3628000,2.0
10631,Super built-up  Area,Ready To Move,Hennur Road,2 BHK,Maity W,1155,2.0,1.0,6918000,2.0
10632,Super built-up  Area,Ready To Move,Sarakki Nagar,4 BHK,Sowerew,3126,5.0,3.0,34500000,4.0
10633,Super built-up  Area,Ready To Move,Jalahalli,2 BHK,Kuownri,905,2.0,2.0,5500000,2.0
10634,Super built-up  Area,Ready To Move,Vijayanagar,3 BHK,GontsAp,1375,2.0,0.0,7500000,3.0
10635,Plot  Area,Immediate Possession,Rajankunte,,,1575,,,3111000,
10636,Super built-up  Area,18-Apr,Electronic City,2 BHK,,1140,2.0,2.0,3384000,2.0
10637,Super built-up  Area,Ready To Move,Hormavu,3 BHK,,1550,2.0,2.0,6000000,3.0
10638,Super built-up  Area,Ready To Move,Kannamangala,2 BHK,VBownre,957,2.0,1.0,5500000,2.0
10639,Built-up  Area,Ready To Move,9th Phase JP Nagar,2 BHK,NaensGa,890,2.0,2.0,4500000,2.0
10640,Super built-up  Area,Ready To Move,KR Puram,4 BHK,Thessmm,3000,4.0,2.0,23500000,4.0
10641,Super built-up  Area,Ready To Move,Electronic City,2 BHK,GMown E,1070,2.0,1.0,5500000,2.0
10642,Plot  Area,Ready To Move,Bendiganahalli,5 Bedroom,Brersld,2400,5.0,1.0,15000000,5.0
10643,Plot  Area,Ready To Move,Domlur Layout,4 Bedroom,,2400,4.0,2.0,59500000,4.0
10644,Super built-up  Area,Ready To Move,Rachenahalli,2 BHK,ArariGo,925,2.0,1.0,3700000,2.0
10645,Built-up  Area,Ready To Move,Kammasandra,2 BHK,Vicony ,1415,2.0,2.0,6000000,2.0
10646,Plot  Area,Ready To Move,Mylasandra,1 Bedroom,,500,2.0,0.0,8000000,1.0
10647,Super built-up  Area,Ready To Move,Thanisandra,2 BHK,SLaceda,1225,2.0,1.0,3700000,2.0
10648,Built-up  Area,Ready To Move,Hennur Road,4 Bedroom,,2000,4.0,0.0,9000000,4.0
10649,Super built-up  Area,19-Dec,Whitefield,1 BHK,Oreldhi,840,1.0,1.0,5700000,1.0
10650,Plot  Area,Ready To Move,Banashankari Stage III,9 Bedroom,,1560,9.0,,20000000,9.0
10651,Super built-up  Area,18-Dec,Thanisandra,3 BHK,Bhe 2ko,1732,3.0,1.0,11200000,3.0
10652,Plot  Area,Ready To Move,Parappana Agrahara,1 Bedroom,,1200,1.0,0.0,4500000,1.0
10653,Super built-up  Area,Ready To Move,Bhoganhalli,2 BHK,Srhemay,1260,2.0,1.0,6990000,2.0
10654,Super built-up  Area,Ready To Move,Doddanakundi Industrial Area 2,2 BHK,,1092,2.0,1.0,4900000,2.0
10655,Super built-up  Area,Ready To Move,Kachanayakanahalli,2 BHK,ICoolon,827,2.0,0.0,3400000,2.0
10656,Super built-up  Area,Ready To Move,Horamavu Banaswadi,2 BHK,,1357,2.0,2.0,5400000,2.0
10657,Super built-up  Area,Ready To Move,Chamrajpet,2 BHK,,650,1.0,1.0,4000000,2.0
10658,Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,SrncyRe,1370,2.0,1.0,5479000,3.0
10659,Super built-up  Area,Ready To Move,Whitefield,3 BHK,AjhalNa,1725,3.0,2.0,10600000,3.0
10660,Built-up  Area,Ready To Move,Jalahalli,2 BHK,,1000,2.0,0.0,7000000,2.0
10661,Plot  Area,Ready To Move,TC Palaya,1 Bedroom,,1350,1.0,0.0,5500000,1.0
10662,Plot  Area,Ready To Move,7th Phase JP Nagar,4 Bedroom,,3200,4.0,2.0,35000000,4.0
10663,Super built-up  Area,Ready To Move,Bellandur,3 BHK,,1717,3.0,2.0,11000000,3.0
10664,Super built-up  Area,21-Dec,Kanakpura Road,2 BHK,PrarePa,700,2.0,1.0,3400000,2.0
10665,Super built-up  Area,Ready To Move,Shanthi Pura,2 BHK,ShtonDw,800,2.0,1.0,3200000,2.0
10666,Super built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,PhestOn,2367,4.0,3.0,34000000,3.0
10667,Super built-up  Area,Ready To Move,Sonnenahalli,3 BHK,DSgam S,1415,2.0,1.0,6500000,3.0
10668,Super built-up  Area,19-Dec,7th Phase JP Nagar,3 BHK,Puarero,1976,3.0,1.0,14500000,3.0
10669,Super built-up  Area,Ready To Move,Kambipura,2 BHK,,883,2.0,1.0,3701000,2.0
10670,Super built-up  Area,Ready To Move,Yelahanka,1 BHK,BCivell,700,1.0,1.0,3800000,1.0
10671,Super built-up  Area,Ready To Move,Sarjapur,3 BHK,Coa 3t ,1445,3.0,1.0,5000000,3.0
10672,Super built-up  Area,19-Dec,Battarahalli,3 BHK,PaontWa,2082,3.0,2.0,10400000,3.0
10673,Super built-up  Area,Ready To Move,HSR Layout,2 BHK,NRosete,1140,2.0,2.0,4600000,2.0
10674,Super built-up  Area,Ready To Move,Thanisandra,2 BHK,Bhmesy ,933,2.0,1.0,6600000,2.0
10675,Plot  Area,Ready To Move,NRI Layout,4 Bedroom,,800,5.0,1.0,9550000,4.0
10676,Built-up  Area,Ready To Move,Electronic City Phase II,2 BHK,,1155,2.0,1.0,5700000,2.0
10677,Super built-up  Area,Ready To Move,Whitefield,2 BHK,SMuilan,1130,2.0,1.0,3600000,2.0
10678,Super built-up  Area,Ready To Move,Bannerghatta,2 BHK,,1200,2.0,2.0,7320000,2.0
10679,Super built-up  Area,Ready To Move,Basaveshwara Nagar Yelahanka,2 BHK,,1055,2.0,1.0,4300000,2.0
10680,Super built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,SradeSr,1555,3.0,2.0,12500000,3.0
10681,Super built-up  Area,Ready To Move,Bellandur,3 BHK,CVnetnc,1420,3.0,2.0,6200000,3.0
10682,Super built-up  Area,20-Apr,Viviani Road,3 BHK,,2214,3.0,2.0,35000000,3.0
10683,Super built-up  Area,18-Apr,Devanahalli,1 BHK,Sabixtt,658,1.0,1.0,2691000,1.0
10684,Carpet  Area,18-Dec,Bhoganhalli,2 BHK,Rosha I,896.9,2.0,1.0,7873999,2.0
10685,Plot  Area,Ready To Move,Giri Nagar,4 Bedroom,,4000,3.0,2.0,75000000,4.0
10686,Built-up  Area,Ready To Move,KR Puram,2 BHK,SViseun,1035,2.0,2.0,4000000,2.0
10687,Plot  Area,Ready To Move,Whitefield,4 Bedroom,MIntare,2064,5.0,2.0,22500000,4.0
10688,Super built-up  Area,Ready To Move,Keshava Nagar,3 BHK,ETens G,1839,3.0,3.0,16000000,3.0
10689,Super built-up  Area,Ready To Move,Begur Road,2 BHK,Dhalsh ,1200,2.0,2.0,4400000,2.0
10690,Built-up  Area,Ready To Move,Yelahanka New Town,1 BHK,KHatsFl,488,1.0,1.0,2000000,1.0
10691,Built-up  Area,Ready To Move,Banashankari Stage II,3 BHK,,1200,2.0,1.0,19800000,3.0
10692,Built-up  Area,Ready To Move,Sampangirama Nagar,5 Bedroom,,2760,5.0,,14000000,5.0
10693,Super built-up  Area,Ready To Move,Gunjur Palya,2 BHK,Evvan V,993,2.0,2.0,4200000,2.0
10694,Super built-up  Area,Ready To Move,Hoodi,2 BHK,Siiewag,1225,2.0,1.0,4500000,2.0
10695,Plot  Area,Ready To Move,TC Palaya,2 Bedroom,,900,2.0,0.0,5500000,2.0
10696,Plot  Area,18-Feb,Electronic City,9 Bedroom,,1200,13.0,,15000000,9.0
10697,Built-up  Area,Ready To Move,Sompura,2 BHK,Suiseit,825,2.0,1.0,3200000,2.0
10698,Super built-up  Area,Ready To Move,Bellandur,4 BHK,,3596,4.0,2.0,35900000,4.0
10699,Plot  Area,Ready To Move,Hosahalli Extension,6 Bedroom,,1350,4.0,1.0,20300000,6.0
10700,Super built-up  Area,Ready To Move,Electronic City Phase II,3 BHK,SJmesst,1800,3.0,3.0,9200000,3.0
10701,Super built-up  Area,Ready To Move,Shankarapuram,2 BHK,,925,2.0,1.0,10000000,2.0
10702,Super built-up  Area,21-Mar,Kanakpura Road,2 BHK,GolusLi,1167,2.0,1.0,6300000,2.0
10703,Super built-up  Area,Ready To Move,Sarjapur,2 BHK,,1150,2.0,1.0,4100000,2.0
10704,Super built-up  Area,18-Aug,Byatarayanapura,1 BHK,Hisic G,650,1.0,1.0,5000000,1.0
10705,Built-up  Area,Ready To Move,Sarjapur  Road,1 BHK,Shthi S,675,1.0,1.0,2700000,1.0
10706,Plot  Area,Ready To Move,Doctor Layout Rayasandra,2 Bedroom,,2260,3.0,1.0,9000000,2.0
10707,Super built-up  Area,18-Apr,Anwar Layout,1 BHK,UKicte ,660 - 780,1.0,0.0,3239000,1.0
10708,Plot  Area,Ready To Move,Whitefield,3 Bedroom,Toindls,4800,4.0,2.0,60000000,3.0
10709,Super built-up  Area,Ready To Move,Yelahanka New Town,2 BHK,,1100,2.0,1.0,5800000,2.0
10710,Super built-up  Area,Ready To Move,Pillanna Gardens,2 BHK,,550,1.0,1.0,2000000,2.0
10711,Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,Aklia R,1330,2.0,1.0,5800000,3.0
10712,Super built-up  Area,Ready To Move,Koramangala,2 BHK,Proodt ,1320,2.0,1.0,16000000,2.0
10713,Super built-up  Area,Ready To Move,Ulsoor,3 BHK,,1685,4.0,2.0,18500000,3.0
10714,Super built-up  Area,Ready To Move,Ullal Uppanagar,6 BHK,,2400,5.0,2.0,7500000,6.0
10715,Super built-up  Area,18-Apr,Banashankari,3 BHK,Bregae ,1770,3.0,3.0,10800000,3.0
10716,Super built-up  Area,Ready To Move,Prithvi Layout,3 BHK,Prigh L,2100,3.0,3.0,12500000,3.0
10717,Super built-up  Area,Ready To Move,Pai Layout,2 BHK,,1000,2.0,3.0,4200000,2.0
10718,Plot  Area,Ready To Move,Banashankari Stage VI,4 Bedroom,,600,5.0,1.0,10500000,4.0
10719,Plot  Area,Ready To Move,Ramamurthy Nagar,4 Bedroom,,2916,5.0,1.0,23000000,4.0
10720,Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,SoapeSu,1419.59,2.0,1.0,6500000,3.0
10721,Super built-up  Area,Ready To Move,Kodihalli,3 BHK,KAMESRI,1400,3.0,,8100000,3.0
10722,Built-up  Area,Ready To Move,Horamavu Agara,2 BHK,,750,2.0,1.0,3749000,2.0
10723,Super built-up  Area,Ready To Move,Bannerghatta,2 BHK,,1070,2.0,1.0,8700000,2.0
10724,Super built-up  Area,18-Dec,Kannamangala,3 BHK,Sonue A,1536,3.0,1.0,10700000,3.0
10725,Built-up  Area,Ready To Move,Koramangala,3 BHK,K ncy R,1710,3.0,2.0,21000000,3.0
10726,Carpet  Area,Ready To Move,JP Nagar,3 BHK,Saacy A,2400,3.0,3.0,19600000,3.0
10727,Super built-up  Area,18-Mar,Sarjapur  Road,3 BHK,PualeSk,1618 - 1929,,,10292000,3.0
10728,Super built-up  Area,18-Apr,Electronic City,2 BHK,Prarkun,1342,2.0,1.0,7200000,2.0
10729,Super built-up  Area,Ready To Move,Chandra Layout,3 BHK,,1600,3.0,2.0,13000000,3.0
10730,Super built-up  Area,19-Dec,Kanakapura,1 BHK,GoityEt,938,1.0,1.0,5000000,1.0
10731,Super built-up  Area,Ready To Move,Budigere,3 BHK,PrityTr,1820,3.0,2.0,9900000,3.0
10732,Super built-up  Area,Ready To Move,Bhoganhalli,4 BHK,Pride S,2439,4.0,3.0,17000000,4.0
10733,Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,Puestol,1665,3.0,2.0,7800000,3.0
10734,Super built-up  Area,Ready To Move,Basavangudi,3 BHK,,1850,3.0,2.0,15000000,3.0
10735,Built-up  Area,Ready To Move,Bommanahalli,2 BHK,Alarke ,1091,2.0,1.0,4000000,2.0
10736,Super built-up  Area,18-Apr,Sarjapur  Road,2 BHK,PualeSk,1346,2.0,1.0,7403000,2.0
10737,Super built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,Brway G,1720,3.0,2.0,22400000,3.0
10738,Built-up  Area,Ready To Move,Brookefield,4 Bedroom,Goodsrb,3675,4.0,3.0,17600000,4.0
10739,Super built-up  Area,18-Jun,JP Nagar,2 BHK,,1060,2.0,2.0,3395000,2.0
10740,Built-up  Area,18-Dec,Whitefield,2 BHK,,1059,2.0,1.0,5700000,2.0
10741,Super built-up  Area,Ready To Move,Hebbal,2 BHK,Prersis,1299,2.0,1.0,9700000,2.0
10742,Super built-up  Area,Ready To Move,Yelahanka,3 BHK,Niareum,1491,3.0,2.0,8500000,3.0
10743,Built-up  Area,Ready To Move,Basaveshwara Nagar,2 BHK,,1200,2.0,2.0,8500000,2.0
10744,Built-up  Area,Ready To Move,Yelahanka,4 Bedroom,,2088,5.0,0.0,11000000,4.0
10745,Super built-up  Area,Ready To Move,Hulimavu,1 BHK,,581,1.0,1.0,2900000,1.0
10746,Super built-up  Area,Ready To Move, Devarabeesana Halli,2 BHK,,1296,2.0,2.0,7000000,2.0
10747,Super built-up  Area,Ready To Move,Doctors Layout,2 BHK,Mavelr ,1125,2.0,1.0,5500000,2.0
10748,Built-up  Area,Ready To Move,Electronic City,3 BHK,Emodsel,1275,3.0,1.0,7000000,3.0
10749,Super built-up  Area,Ready To Move,Kothanur,2 BHK,,1095,2.0,2.0,5500000,2.0
10750,Plot  Area,Ready To Move,Sarjapur  Road,5 Bedroom,AdlasRe,10000,4.0,2.0,97500000,5.0
10751,Super built-up  Area,Ready To Move,Old Madras Road,2 BHK,Sastaat,1330,2.0,2.0,7400000,2.0
10752,Super built-up  Area,Ready To Move,Marathahalli,2 BHK,,1135,2.0,2.0,6000000,2.0
10753,Super built-up  Area,Ready To Move,Whitefield,1 BHK,,516,1.0,1.0,3900000,1.0
10754,Super built-up  Area,Ready To Move,Doddanakundi Industrial Area 2,2 BHK,,1194,2.0,1.0,5100000,2.0
10755,Plot  Area,Ready To Move,Banaswadi,5 Bedroom,,2250,5.0,,24000000,5.0
10756,Super built-up  Area,Ready To Move,Electronic City,2 BHK,GMown E,770,1.0,1.0,3800000,2.0
10757,Super built-up  Area,Ready To Move,Sarjapur  Road,4 BHK,Maana E,3930,5.0,2.0,33000000,4.0
10758,Super built-up  Area,18-May,Chikkalasandra,3 BHK,,1355,3.0,2.0,5420000,3.0
10759,Built-up  Area,Ready To Move,Abbigere,8 Bedroom,,3000,8.0,0.0,15000000,8.0
10760,Built-up  Area,Ready To Move,Harlur,4 BHK,Prncyrn,2569,4.0,1.0,17500000,4.0
10761,Built-up  Area,Ready To Move,Hebbal,4 Bedroom,,3758,4.0,2.0,45000000,4.0
10762,Super built-up  Area,Ready To Move,Whitefield,2 BHK,Sonviik,1116,2.0,3.0,5191000,2.0
10763,Super built-up  Area,Ready To Move,Bhoganhalli,3 BHK,Prsun S,1707,3.0,2.0,11500000,3.0
10764,Plot  Area,18-Apr,AECS LAYOUT A-BLOCK Singasandra,5 Bedroom,,1200,5.0,1.0,22500000,5.0
10765,Super built-up  Area,Ready To Move,Sultan Palaya,2 BHK,,1070,2.0,2.0,4900000,2.0
10766,Built-up  Area,Ready To Move,Whitefield,4 Bedroom,,6000,4.0,,41000000,4.0
10767,Super built-up  Area,18-Apr,Tumkur Road,3 BHK,Sahtsva,1240,2.0,1.0,8300000,3.0
10768,Super built-up  Area,19-Dec,JP Nagar,2 BHK,Shestut,1300,2.0,1.0,9165000,2.0
10769,Super built-up  Area,Ready To Move,Ambalipura,2 BHK,SJodsed,1700,2.0,2.0,7600000,2.0
10770,Super built-up  Area,Ready To Move,Yeshwanthpur,3 BHK,IBityin,1383,2.0,2.0,7618000,3.0
10771,Built-up  Area,Ready To Move,Banashankari Stage I,5 Bedroom,,3000,4.0,3.0,17000000,5.0
10772,Built-up  Area,18-Dec,Electronic City,2 BHK,,1200,2.0,1.0,3465000,2.0
10773,Super built-up  Area,Ready To Move,Hulimavu,2 BHK,,935,2.0,3.0,4500000,2.0
10774,Super built-up  Area,Ready To Move,Thigalarapalya,3 BHK,Prtanha,2072,4.0,2.0,15100000,3.0
10775,Built-up  Area,Ready To Move,Ramanjaneyanagar,4 Bedroom,,2200,3.0,1.0,22500000,4.0
10776,Super built-up  Area,Ready To Move,Jalahalli,1 BHK,Vaniai ,615,1.0,1.0,4600000,1.0
10777,Super built-up  Area,Ready To Move,KR Puram,2 BHK,CiaksRi,1116,2.0,1.0,4500000,2.0
10778,Super built-up  Area,18-Dec,Whitefield,3 BHK,Asarqz ,1639,3.0,2.0,10700000,3.0
10779,Super built-up  Area,Ready To Move,Marathahalli,3 BHK,,1839,3.0,2.0,13000000,3.0
10780,Super built-up  Area,Ready To Move,Byatarayanapura,2 BHK,,1300,2.0,2.0,6300000,2.0
10781,Super built-up  Area,Ready To Move,Horamavu Agara,1 BHK,,625,1.0,1.0,2700000,1.0
10782,Super built-up  Area,18-May,Thanisandra,1 BHK,Bhmesy ,933,1.0,1.0,6100000,1.0
10783,Super built-up  Area,Ready To Move,Hosur Road,3 BHK,Saageat,2289,3.0,3.0,18000000,3.0
10784,Built-up  Area,Ready To Move,Ramamurthy Nagar,3 Bedroom,,2316,3.0,0.0,12500000,3.0
10785,Super built-up  Area,18-May,Electronic City,2 BHK,,1005,2.0,1.0,3977000,2.0
10786,Built-up  Area,Ready To Move,Horamavu Agara,2 BHK,SLoraFl,1080,2.0,1.0,3800000,2.0
10787,Plot  Area,Ready To Move,Munnekollal,7 Bedroom,,1200,5.0,3.0,18500000,7.0
10788,Super built-up  Area,Ready To Move,Vishwapriya Layout,2 BHK,Prodsth,910,2.0,3.0,3600000,2.0
10789,Plot  Area,Ready To Move,Hormavu,2 Bedroom,Grensak,1200,2.0,0.0,7300000,2.0
10790,Super built-up  Area,Ready To Move,Electronic City,2 BHK,YCnce R,1110,2.0,1.0,3990000,2.0
10791,Super built-up  Area,Ready To Move,Kothanur,2 BHK,,1142,2.0,2.0,5600000,2.0
10792,Carpet  Area,Ready To Move,2nd Stage Nagarbhavi,5 Bedroom,,4000,4.0,3.0,24000000,5.0
10793,Plot  Area,18-Mar,Hormavu,3 Bedroom,Prageta,1800,3.0,1.0,20400000,3.0
10794,Super built-up  Area,Ready To Move,AECS Layout,2 BHK,CMard B,1005,2.0,1.0,5500000,2.0
10795,Built-up  Area,18-Apr,3rd Block Banashankari,3 BHK,,1626.6,3.0,1.0,13300000,3.0
10796,Super built-up  Area,Ready To Move,Kothanur,2 BHK,,1074,2.0,2.0,5400000,2.0
10797,Carpet  Area,Ready To Move,Basavangudi,2 BHK,,1230,2.0,0.0,8000000,2.0
10798,Super built-up  Area,Ready To Move,Electronic City,2 BHK,Itelaa ,660,1.0,1.0,2300000,2.0
10799,Built-up  Area,Ready To Move,Coconut Grove Layout,2 BHK,,1007,2.0,2.0,4800000,2.0
10800,Plot  Area,Ready To Move,2nd Block Hrbr Layout,4 Bedroom,,1050,6.0,1.0,7400000,4.0
10801,Built-up  Area,20-Dec,Whitefield,3 BHK,,1820,3.0,2.0,11300000,3.0
10802,Super built-up  Area,Ready To Move,Basapura,2 BHK,Krtiqa ,1100,2.0,1.0,6000000,2.0
10803,Plot  Area,Ready To Move,Anjappa Layout,2 Bedroom,,1348,2.0,0.0,10000000,2.0
10804,Super built-up  Area,Ready To Move,Kasavanhalli,2 BHK,,1230,2.0,2.0,6625000,2.0
10805,Super built-up  Area,18-May,Horamavu Agara,3 BHK,,1176,2.0,1.0,3761999,3.0
10806,Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,Aklia R,1590,3.0,2.0,5700000,3.0
10807,Built-up  Area,Ready To Move,Frazer Town,2 BHK,,1200,2.0,1.0,7800000,2.0
10808,Built-up  Area,18-Jun,"Off Sarjapur Road, ",2 BHK,,1298,2.0,1.0,6500000,2.0
10809,Super built-up  Area,18-Jul,Hosa Road,2 BHK,Mahesr ,1161,2.0,1.0,5515000,2.0
10810,Plot  Area,Ready To Move,Himagiri Meadows,4 Bedroom,,1350,4.0,0.0,17500000,4.0
10811,Plot  Area,Ready To Move,4th Block HBR Layout,5 Bedroom,,1200,5.0,2.0,13800000,5.0
10812,Super built-up  Area,Ready To Move,Kothanur,2 BHK,,1285,2.0,1.0,6000000,2.0
10813,Super built-up  Area,17-Jun,Electronic City,3 BHK,Prarkun,1644,3.0,2.0,9259000,3.0
10814,Super built-up  Area,Ready To Move,Kasavanhalli,3 BHK,,1819,3.0,1.0,15000000,3.0
10815,Super built-up  Area,Ready To Move,1st Phase JP Nagar,2 BHK,NCaveun,1205,2.0,1.0,8500000,2.0
10816,Super built-up  Area,Ready To Move,Basavangudi,3 BHK,,2350,3.0,3.0,30000000,3.0
10817,Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,,1050,2.0,1.0,4200000,2.0
10818,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,Ely 3Em,1270,2.0,2.0,6200000,2.0
10819,Super built-up  Area,18-Jun,9th Phase JP Nagar,3 BHK,,1240,2.0,2.0,3989000,3.0
10820,Super built-up  Area,Ready To Move,Jigani,3 BHK,DLhtsan,1221,3.0,3.0,7000000,3.0
10821,Built-up  Area,Ready To Move,Hoysalanagar,3 BHK,RKntsrt,840,2.0,2.0,3500000,3.0
10822,Super built-up  Area,Ready To Move,Kanakpura Road,2 BHK,PuandHi,1339,2.0,2.0,6300000,2.0
10823,Super built-up  Area,Ready To Move,Thigalarapalya,4 BHK,Prtanha,4303,5.0,,30000000,4.0
10824,Super built-up  Area,Ready To Move,Haralur Road,2 BHK,DSimaUl,1315,2.0,1.0,8500000,2.0
10825,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,,1250,2.0,2.0,6800000,2.0
10826,Super built-up  Area,Ready To Move,Bisuvanahalli,2 BHK,Prityel,850,2.0,1.0,2700000,2.0
10827,Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,Eladero,1600,2.0,2.0,11000000,3.0
10828,Built-up  Area,Ready To Move,Electronic City,2 BHK,Prhtsua,1250,2.0,1.0,6200000,2.0
10829,Super built-up  Area,Ready To Move,Motappa Layout,3 BHK,Puodse ,1312,2.0,1.0,5650000,3.0
10830,Super built-up  Area,Ready To Move,Kadugodi,4 BHK,VSaya A,3000,4.0,0.0,13400000,4.0
10831,Built-up  Area,Ready To Move,Electronic City Phase II,2 BHK,Prngshi,1300,2.0,2.0,2800000,2.0
10832,Built-up  Area,Ready To Move,Whitefield,3 BHK,,1990,3.0,3.0,9800000,3.0
10833,Super built-up  Area,Ready To Move,Medahalli,2 BHK,,760,2.0,2.0,3850000,2.0
10834,Plot  Area,Ready To Move,Ambedkar Nagar,4 Bedroom,Thessrm,5000,4.0,2.0,53600000,4.0
10835,Super built-up  Area,Ready To Move,Kadugodi,3 BHK,InadeAr,1614,2.0,2.0,5900000,3.0
10836,Plot  Area,Ready To Move,Judicial Layout,4 Bedroom,,1500,3.0,2.0,16200000,4.0
10837,Super built-up  Area,Ready To Move,Basava Nagar,3 BHK,Prvaska,1182,2.0,1.0,6010000,3.0
10838,Super built-up  Area,Ready To Move,Avalahalli,2 BHK,PyonsCa,1053,2.0,1.0,4629000,2.0
10839,Built-up  Area,Ready To Move,6th Phase JP Nagar,1 BHK,,750,1.0,1.0,10500000,1.0
10840,Super built-up  Area,Ready To Move,Gubbalala,3 BHK,MauilTr,2000,3.0,3.0,12500000,3.0
10841,Built-up  Area,18-May,Electronic City Phase II,3 BHK,SNbay G,1940,4.0,3.0,11600000,3.0
10842,Super built-up  Area,18-Dec,Hennur Road,3 BHK,Shxorm ,1590,3.0,2.0,10500000,3.0
10843,Super built-up  Area,18-Oct,Chennammana Kere,2 BHK,,1035,2.0,2.0,5279000,2.0
10844,Super built-up  Area,Ready To Move,Kothanur,2 BHK,,1075,2.0,2.0,5300000,2.0
10845,Plot  Area,Ready To Move,TC Palaya,2 Bedroom,,900,2.0,0.0,5500000,2.0
10846,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,Keave E,1260,2.0,1.0,6200000,3.0
10847,Plot  Area,Ready To Move,Prashanth Nagar,6 Bedroom,,1200,5.0,0.0,26000000,6.0
10848,Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Soitya ,1702,3.0,2.0,10700000,3.0
10849,Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,Prityel,1080,2.0,2.0,6500000,3.0
10850,Built-up  Area,Ready To Move,Kasavanhalli,2 BHK,,1189,2.0,1.0,4500000,2.0
10851,Super built-up  Area,Ready To Move,Tumkur Road,2 BHK,Mairer ,1035,2.0,1.0,3900000,2.0
10852,Super built-up  Area,18-Aug,Hennur Road,2 BHK,DSeldpr,1200,2.0,1.0,3600000,2.0
10853,Plot  Area,Ready To Move,Mahalakshmi Layout,8 Bedroom,,4482,6.0,2.0,85200000,8.0
10854,Plot  Area,Ready To Move,Michael Palaya,3 Bedroom,,1200,3.0,0.0,20000000,3.0
10855,Super built-up  Area,20-Oct,Kanakpura Road,3 BHK,PrarePa,1300,3.0,1.0,6900000,3.0
10856,Super built-up  Area,19-Apr,Yelahanka,2 BHK,LedorSa,1330,2.0,1.0,9365000,2.0
10857,Super built-up  Area,Ready To Move,Kaggalipura,3 BHK,Baowsig,1210,2.0,1.0,6500000,3.0
10858,Built-up  Area,Ready To Move,Chikkalasandra,3 BHK,,1350,2.0,2.0,5420000,3.0
10859,Super built-up  Area,Ready To Move,Kaval Byrasandra,3 BHK,SyOnen ,1900,2.0,2.0,6500000,3.0
10860,Super built-up  Area,Ready To Move,Ambedkar Nagar,3 BHK,SoechHa,1935,4.0,2.0,12500000,3.0
10861,Super built-up  Area,Ready To Move,Doddanakundi Industrial Area 2,3 BHK,BrlonAv,1410,3.0,3.0,9000000,3.0
10862,Super built-up  Area,Ready To Move,Narayanapura,2 BHK,AriosHe,1469,2.0,2.0,9914000,2.0
10863,Super built-up  Area,Ready To Move,Varthur,2 BHK,Hirio L,986,2.0,1.0,3000000,2.0
10864,Super built-up  Area,Ready To Move,RBI Layout,3 BHK,Sasicha,1460,2.0,2.0,8700000,3.0
10865,Super built-up  Area,19-Jan,Chandra Layout,3 BHK,TiaksAa,1260,2.0,2.0,8505000,3.0
10866,Super built-up  Area,Ready To Move,Chandapura,3 BHK,Riiew L,1345,2.0,2.0,3950000,3.0
10867,Super built-up  Area,Ready To Move,Panathur,2 BHK,Isncasa,980,2.0,1.0,5700000,2.0
10868,Built-up  Area,Ready To Move,Kudlu Gate,2 BHK,Brlms P,1164,2.0,2.0,7500000,2.0
